M_F,M,F
0.8535684435687325,0.671735628495596,0.5165219542594195
1.0688626311171208e-05,1.4700100635283036e-07,0.3325451119610142
5.443024332541346e-171,6.244640668516148e-72,1.764336756131753e-101
0.050640194707819775,0.12585635543656712,0.21911419809087596
7.522872838176492e-11,9.885283217238651e-07,1.6064085506587742e-05
1.8165721911540583e-59,1.0297776716337494e-32,1.4240840483006346e-28
2.5428777437361895e-06,0.0004715963938519085,0.001555634526667797
4.6511154987700966e-55,6.908978126368751e-26,7.988876194523024e-31
2.457230461525625e-39,4.469628046393645e-19,7.017480231562844e-22
2.018593585845574e-21,2.8668263102734747e-14,5.708184862531493e-09
0.023891530571288806,0.28045119912075944,0.03255817088055658
6.009623269178026e-16,1.3673242465789805e-10,4.13272482611711e-07
6.867945893156328e-56,4.877593028995511e-26,1.6806401770108672e-31
2.2463110278128993e-12,3.115459830388767e-08,1.0591910979685864e-05
0.0003218731672890717,0.039079143820971406,0.0026410595359987227
2.0297277212702786e-07,1.4044314561889225e-06,0.010753912165232849
6.709178685002065e-54,2.1282312144844766e-30,1.264947274879717e-25
1.0833644663619318e-66,4.502903854417902e-37,1.0602373589723337e-31
9.802955184581718e-05,0.003005077291921231,0.011445193370459369
0.00018829121990806367,0.2724328840199424,7.659095960839573e-05
0.16445897355424002,0.03180137837134037,0.881328364420396
1.4207388915548096e-19,3.999597093305788e-13,2.24180230827849e-08
0.013219505995147098,0.02541667624647117,0.18232913147830757
1.3553429831181949e-15,7.372894711067609e-11,1.772440870979451e-06
0.043612519405492225,0.2318436462737997,0.1011596955215711
8.298452196001614e-08,0.21527656616235646,8.96199720431815e-10
1.541733718247858e-18,3.880657795417803e-13,1.0196772049612285e-07
8.192133181081974e-20,1.6571575333662252e-16,2.859994157179738e-06
7.047354353846552e-44,4.925079386555952e-18,5.2686575181903205e-28
0.5264627270513053,0.6909968019713675,0.6216834965506982
0.03420766640123297,0.8059875853081047,0.0016001315760387311
1.9631435759589795e-15,1.4902896086638547e-07,2.5917984421552767e-09
4.73666618843149e-45,2.53304942581939e-27,7.458816570417808e-20
2.2324298108934478e-107,1.1999741196149416e-47,1.5199462494567434e-61
6.452529433983853e-72,8.577971754406047e-36,7.477858369387103e-38
1.0180330490898612e-79,2.3138089532308204e-37,4.612821902514637e-44
3.2676072493328703e-91,2.7859016673964418e-46,5.788368309970674e-47
2.119895890426044e-56,5.849270861014696e-27,4.166679435099271e-31
1.2607844608844762e-30,2.530911094145384e-15,7.136216279896068e-17
1.0595277938955514e-12,1.1131449037576038e-06,2.1098916270945483e-07
0.645972085116356,0.4515543865504841,0.9312911389131511
7.155649808663316e-36,1.3919003908919512e-12,6.289627886446224e-26
0.856897441537912,0.7380024256387836,0.5482639288000446
1.357313836847431e-51,3.8359158880163614e-31,1.453142973043546e-22
4.738976515200606e-133,1.7374661579676152e-56,1.0667850637579349e-78
2.027400522141867e-97,2.279629666446991e-54,2.1492329413976355e-45
5.387725321109823e-27,1.018777179274896e-25,1.1724706526715748e-06
5.666360751935491e-12,7.991355729520046e-08,1.1518425621535963e-05
2.5064496201489862e-15,0.00674279874551813,7.807958679807166e-17
7.481780310066018e-32,1.0463559538250883e-19,5.746906410000822e-14
6.990214283740475e-10,6.257058851875002e-06,2.7182838867165925e-05
8.748655862010164e-32,3.007405441598805e-16,4.141021736177126e-17
6.429494985645373e-113,1.0920631482745595e-50,5.188696897133376e-64
1.704242725486259e-50,4.305054680162453e-24,4.705952869553968e-28
5.2365535167985254e-51,2.9231581955237096e-25,2.1034791327262852e-27
2.5474988662535493e-10,2.3760063670461562e-05,2.604166206828547e-06
2.39243305078887e-19,1.1056184562604311e-11,2.520943564459742e-09
0.03205859516874025,0.07265035229046587,0.2171607539803354
3.592002291684002e-18,3.0916037070882837e-07,1.4365112946590564e-12
7.815278089735449e-43,4.0247836757367307e-22,2.419793526304311e-22
1.5970899477295535e-13,3.1089809646432677e-07,1.0808045302435871e-07
2.02648425108865e-18,5.929622334004327e-10,6.089088841106179e-10
1.0551746553526428e-09,0.0003990761893195206,4.888260514524274e-07
1.4128724412559833e-91,4.4501920753732554e-44,2.679808055949698e-49
9.710959115556127e-38,2.1492968771606312e-17,5.655686372855855e-22
9.19974683321056e-34,9.56719444766494e-19,1.1739529727201489e-16
1.301837913966164e-08,2.972662094986938e-06,0.0006760259559256947
0.03735222205903433,0.4780533857319187,0.03259161985440787
0.48846590108411625,0.701998873904017,0.5555022263895741
0.00016303229255818655,0.010666538322721877,0.005576519469430557
0.0012693834994473195,0.03708771880354594,0.013717457232458066
0.6623872598562945,0.6666302149384904,0.270331316543882
1.0343145090110094e-26,1.4709388034379152e-17,4.322687509223515e-11
5.115648604747424e-22,5.927889412682387e-09,9.748271135124817e-15
0.02079007809687147,0.00023336163499036353,0.8368534675292549
5.71061857436885e-14,1.9613533017101773e-05,3.5883195405621563e-10
2.3751649264321014e-24,1.0212199111013528e-05,2.2778383634660544e-22
0.000893236819419118,0.032763257682622275,0.010931403147292025
0.0006018786156434415,5.232869167622671e-06,0.8293105061016932
1.4343847593020984e-49,1.1426260529222886e-23,1.583586295712634e-27
4.2787360530978516e-66,4.791032465416659e-31,8.239252529334314e-37
0.09869238675553783,0.021434931818696202,0.945796391794953
1.4706441306657252e-39,3.6744936134376264e-34,7.492212197056716e-12
1.7864832204239213e-56,1.6408545966735017e-24,9.98790267395112e-34
1.8817131216546656e-118,5.5292166945214965e-55,3.1369068710990646e-65
1.0721343497647768e-10,0.00022890711879482582,7.786718712528898e-08
3.825088711938028e-37,7.152220770948605e-12,2.3865278528427484e-28
2.9492559986138343e-10,0.0005384978091945418,4.8674513556343447e-08
1.3137954319480387e-81,1.4315675057785032e-40,9.276962795525577e-43
0.09520790087645091,0.6379417772524729,0.06428882026312897
6.316964973374371e-25,4.2809855859305635e-09,1.16086313033119e-17
1.814338424702511e-67,1.655903988099506e-33,1.1981315218949977e-35
4.058673571754497e-107,1.5189988242817296e-52,2.485396262741228e-56
5.110846399045729e-67,1.9265250064863693e-35,1.0766406581270276e-33
7.543903835720061e-21,4.058848264899405e-14,5.831475499057161e-09
2.130935638640613e-11,2.937889208882112e-10,0.0019826684036058652
4.0556210641551144e-19,1.2863755157525566e-13,1.1927729160991358e-07
1.3516667848703028e-14,1.8907899893911763e-12,7.248576397953062e-05
1.1675478924262594e-95,3.439629426997691e-48,2.7599824741110798e-49
0.005306404958808264,0.004563919128386683,0.3075138005403049
9.912291727534489e-33,2.188076511970731e-22,4.486872221216706e-13
1.293005574980066e-78,1.6095147576320451e-34,6.91048087319922e-46
4.748489138622514e-64,8.47039170406466e-30,6.448337896726817e-36
4.866562203857598e-100,4.772793694688544e-43,4.221315049887992e-59
2.6133704993967298e-129,1.2104073820124805e-57,1.0644184286216437e-73
6.789116570585413e-07,0.01629825598584341,6.2524955258108685e-06
1.0183228349785401e-08,2.6565682360804195e-06,0.0005952607065927284
1.85968605415331e-13,1.6892947885833102e-07,2.3143257973101817e-07
5.381453448012377e-100,1.0199434030338535e-47,5.416390068187663e-54
3.2552427894679364e-21,8.568340722523944e-19,2.6226885557874044e-06
1.99924618652602e-36,3.3237151881826027e-13,3.5354936463805486e-25
0.21613396902371568,0.006903943121097996,0.42780729724561306
0.06766505523326245,0.8135211703502319,0.009403537418564789
2.1639661335470327e-19,1.0264081284313633e-10,3.0085284083152273e-10
3.664003604967501e-07,0.0001057570198464208,0.0006711062807618056
2.485140377213822e-23,4.730524203312156e-10,6.2849789984275115e-15
2.2772908370571746e-05,8.237362456193686e-06,0.09533464420663125
1.1955508630609892e-07,0.013460359322449692,5.667302697600446e-07
1.792463938156021e-13,2.977187385258922e-07,1.2685526198502324e-07
2.676638679534964e-09,7.284921616727278e-07,0.00048665623063871166
9.450844165535292e-08,5.218081877153347e-05,0.0004745862668308068
